run;weight;alpha;beta;harbourBonus;dist
778;prom;1.49;0.01;1.90;78212.02
820;prom;1.62;0.02;1.79;78224.34
608;prom;1.55;0.13;1.94;78232.35
621;prom;1.78;0.35;2.00;78238.15
439;prom;1.29;0.06;1.91;78240.47
211;prom;1.21;0.04;1.81;78257.32
99;prom;1.50;0.06;1.69;78257.56
541;prom;1.85;0.50;1.94;78258.57
659;prom;1.39;0.07;1.74;78263.21
689;prom;1.34;0.02;1.64;78263.76
260;prom;1.58;0.20;1.82;78264.80
867;prom;1.45;1.44;1.99;78271.28
432;prom;1.70;1.57;1.96;78278.19
80;prom;1.17;1.72;1.97;78280.31
300;prom;0.85;1.65;1.98;78282.43
340;prom;0.25;1.53;1.99;78283.32
584;prom;1.26;1.63;1.95;78285.45
951;prom;1.54;0.09;1.58;78286.54
889;prom;0.86;0.39;1.95;78287.75
200;prom;1.22;0.79;1.94;78289.20
198;prom;0.54;1.38;1.96;78291.27
347;prom;1.42;1.06;1.93;78291.52
354;prom;1.01;1.86;1.94;78292.40
386;prom;0.95;1.05;1.94;78292.57
793;prom;1.88;0.37;1.73;78293.78
498;prom;1.83;0.38;1.73;78296.15
379;prom;1.33;0.64;1.90;78298.51
122;prom;1.96;0.14;1.47;78299.20
59;prom;0.02;1.02;1.94;78299.90
585;prom;1.06;0.47;1.90;78303.47
307;prom;0.65;1.61;1.92;78304.59
736;prom;0.31;1.29;1.92;78305.66
830;prom;0.49;1.41;1.92;78306.19
348;prom;1.81;1.36;1.86;78311.90
400;prom;0.38;1.48;1.90;78313.67
1;prom;0.87;1.41;1.88;78314.20
534;prom;1.11;0.62;1.85;78320.35
885;prom;1.22;0.77;1.85;78321.00
623;prom;0.34;1.51;1.87;78321.16
669;prom;1.35;1.87;1.84;78322.75
222;prom;1.53;0.60;1.81;78323.82
819;prom;1.83;0.90;1.78;78326.98
504;prom;1.32;1.19;1.83;78328.13
629;prom;1.66;0.05;1.29;78330.44
704;prom;0.24;1.15;1.84;78334.88
710;prom;1.12;1.38;1.82;78335.13
558;prom;1.09;1.64;1.81;78338.19
636;prom;0.15;0.38;1.82;78338.58
665;prom;0.95;1.34;1.81;78340.43
499;prom;1.97;1.95;1.76;78341.36
999;prom;1.25;1.08;1.79;78341.99
185;prom;0.48;1.55;1.81;78344.30
833;prom;2.00;0.15;1.30;78346.71
32;prom;0.06;1.36;1.80;78348.77
869;prom;1.52;0.83;1.76;78350.10
939;prom;0.99;1.02;1.78;78350.29
570;prom;1.22;0.35;1.75;78351.91
436;prom;1.28;1.75;1.77;78351.94
430;prom;0.10;1.29;1.79;78353.32
909;prom;1.89;0.52;1.59;78353.50
423;prom;1.66;1.18;1.75;78354.91
422;prom;0.12;1.53;1.79;78356.01
395;prom;1.43;0.49;1.73;78356.13
735;prom;0.86;0.43;1.75;78360.67
449;prom;1.25;1.07;1.74;78362.08
672;prom;0.23;1.89;1.76;78363.03
842;prom;1.87;1.75;1.71;78363.56
445;prom;0.40;1.94;1.76;78363.94
191;prom;0.68;0.52;1.75;78364.43
528;prom;0.07;0.35;1.76;78365.50
766;prom;1.06;0.96;1.73;78368.29
126;prom;1.04;0.44;1.72;78369.91
380;prom;0.00;1.00;1.74;78375.09
839;prom;1.12;1.26;1.72;78375.47
873;prom;1.82;0.43;1.50;78377.53
394;prom;1.01;1.11;1.71;78381.07
823;prom;1.59;1.49;1.68;78382.85
393;prom;1.45;1.22;1.68;78387.43
419;prom;0.96;0.31;1.68;78389.62
132;prom;0.74;0.20;1.68;78389.63
531;prom;0.93;1.34;1.69;78390.07
674;prom;0.08;0.53;1.70;78390.09
50;farming;0.01;0.56;1.85;78393.50
683;prom;0.67;0.51;1.68;78394.33
281;prom;1.03;0.04;1.65;78395.48
661;prom;0.90;1.83;1.68;78395.73
641;prom;1.36;0.80;1.66;78396.59
655;prom;0.39;0.44;1.68;78397.88
945;prom;1.01;0.26;1.65;78399.46
100;prom;1.01;0.04;1.64;78401.95
781;prom;1.14;1.20;1.66;78402.29
264;prom;0.86;0.42;1.65;78403.06
722;prom;0.42;0.40;1.66;78404.05
131;prom;0.84;1.46;1.66;78404.56
803;prom;1.11;0.61;1.64;78406.83
516;prom;0.01;1.02;1.67;78409.16
552;prom;0.51;1.06;1.66;78410.62
758;farming;0.08;0.23;1.77;78411.31
239;prom;1.18;0.87;1.63;78412.39
759;prom;0.81;0.99;1.64;78415.05
855;prom;1.46;0.51;1.58;78415.60
985;prom;1.52;0.60;1.58;78417.32
247;prom;1.58;1.89;1.61;78417.95
178;farming;0.12;0.46;1.89;78418.12
137;prom;1.34;0.68;1.61;78419.65
637;prom;0.20;1.39;1.64;78420.94
294;prom;0.69;0.26;1.61;78423.62
41;prom;1.85;1.31;1.57;78424.08
691;prom;1.68;0.46;1.45;78425.46
572;prom;0.31;1.66;1.63;78425.87
765;prom;1.40;1.71;1.60;78426.02
480;prom;0.94;1.23;1.61;78427.96
993;prom;1.93;1.97;1.55;78428.30
312;prom;1.64;1.26;1.58;78428.83
565;prom;1.29;0.92;1.58;78433.32
124;prom;0.84;1.24;1.60;78434.10
442;prom;1.39;1.38;1.58;78434.13
210;prom;0.03;1.85;1.61;78435.11
566;prom;1.63;1.78;1.57;78435.39
223;prom;0.22;0.74;1.61;78436.30
89;prom;0.37;0.35;1.60;78436.73
675;prom;0.72;0.75;1.59;78439.48
537;prom;0.61;0.38;1.58;78443.55
23;prom;0.85;0.03;1.56;78444.74
639;prom;1.70;0.35;1.32;78451.67
258;prom;0.72;1.13;1.56;78453.38
308;prom;0.70;1.57;1.56;78454.70
908;prom;0.12;0.63;1.57;78455.56
701;prom;1.73;0.91;1.49;78455.98
180;prom;1.64;0.07;1.00;78456.56
719;prom;1.04;0.60;1.54;78457.05
279;prom;1.04;1.66;1.54;78460.54
946;prom;0.80;1.56;1.55;78460.89
937;farming;0.02;0.78;1.74;78460.93
107;prom;0.82;1.91;1.54;78463.11
910;prom;1.27;1.83;1.53;78465.58
460;prom;0.79;1.00;1.54;78465.68
377;prom;1.76;0.90;1.47;78466.25
579;prom;1.72;1.29;1.50;78466.26
960;prom;1.50;1.13;1.51;78466.81
941;prom;1.52;0.93;1.51;78466.84
392;prom;1.93;0.96;1.42;78469.36
815;farming;0.05;0.59;1.69;78472.59
862;prom;0.45;0.41;1.52;78477.12
989;prom;1.88;0.80;1.39;78478.81
760;prom;0.82;1.72;1.51;78479.12
265;farming;0.03;1.41;1.93;78480.19
592;prom;1.57;1.13;1.48;78481.22
742;prom;1.53;1.41;1.48;78486.43
626;prom;0.95;1.23;1.49;78489.12
550;prom;0.15;1.02;1.51;78489.53
350;farming;0.27;0.53;1.95;78492.51
847;prom;0.40;0.07;1.48;78494.76
524;prom;0.79;0.18;1.47;78495.00
280;prom;1.79;1.25;1.43;78495.78
527;prom;0.15;0.46;1.49;78496.10
768;farming;0.14;0.48;1.70;78496.11
966;farming;0.29;0.22;1.80;78497.24
753;prom;0.46;0.52;1.47;78506.05
263;prom;1.66;0.64;1.36;78507.95
113;prom;1.92;0.18;0.98;78515.26
786;farming;0.05;1.69;1.98;78516.71
282;farming;0.38;0.09;1.78;78517.57
160;prom;1.90;1.79;1.38;78517.64
877;prom;1.53;1.90;1.42;78518.92
285;prom;1.36;1.99;1.42;78521.77
176;prom;0.13;1.13;1.45;78521.90
762;prom;1.60;1.41;1.41;78522.03
612;prom;0.85;1.61;1.44;78522.32
772;prom;1.65;0.60;1.32;78524.90
25;prom;1.82;0.96;1.34;78528.51
85;prom;0.59;1.33;1.43;78528.77
529;prom;0.15;0.93;1.44;78529.29
814;prom;1.07;0.48;1.41;78529.74
417;farming;0.35;0.03;1.66;78530.43
17;prom;1.97;1.02;1.30;78530.58
984;prom;1.96;0.17;0.92;78537.44
387;prom;1.62;1.65;1.39;78537.60
610;prom;0.45;1.80;1.41;78540.25
271;prom;1.06;0.64;1.39;78545.46
358;prom;0.62;1.60;1.40;78546.27
277;prom;1.46;0.14;1.02;78550.35
882;prom;1.16;2.00;1.38;78552.55
289;farming;0.52;0.06;1.87;78554.14
940;prom;0.61;1.55;1.39;78554.24
750;farming;0.32;0.56;1.86;78557.70
225;farming;0.64;0.01;1.96;78560.59
156;prom;1.24;1.33;1.36;78563.30
450;prom;0.44;0.85;1.38;78563.99
448;prom;0.05;1.79;1.38;78566.53
739;prom;0.22;0.74;1.37;78569.28
911;prom;0.61;1.73;1.36;78570.16
533;farming;0.11;1.40;1.81;78573.83
969;prom;0.55;0.93;1.35;78577.01
673;prom;0.05;1.15;1.36;78577.18
777;prom;1.06;1.89;1.34;78579.60
479;prom;0.16;0.76;1.36;78579.81
52;prom;1.59;0.12;0.90;78580.87
649;prom;0.10;0.46;1.35;78584.99
57;prom;1.61;0.40;1.15;78585.36
474;prom;0.67;0.13;1.32;78588.72
217;prom;0.55;1.66;1.34;78589.28
87;prom;1.35;0.47;1.28;78598.69
482;prom;0.44;0.91;1.32;78600.61
900;prom;1.83;0.74;1.17;78601.51
509;prom;0.86;1.65;1.31;78602.36
929;prom;1.69;1.90;1.28;78605.14
461;prom;1.50;0.40;1.17;78605.76
127;prom;1.60;0.34;1.08;78606.03
846;prom;0.12;1.60;1.32;78607.84
114;prom;1.64;0.84;1.25;78607.85
564;farming;0.26;0.48;1.56;78610.88
975;farming;0.05;0.07;1.11;78611.09
828;prom;0.11;0.30;1.30;78612.24
228;prom;0.08;1.25;1.31;78614.58
604;prom;0.26;1.08;1.30;78614.94
878;prom;0.67;1.88;1.29;78616.54
230;farming;0.03;0.21;1.12;78618.01
329;farming;0.37;0.23;1.56;78619.60
334;farming;0.14;0.40;1.32;78625.75
851;prom;1.72;0.94;1.21;78625.83
883;prom;0.44;0.94;1.27;78631.90
407;prom;0.19;0.11;1.26;78633.99
123;prom;1.46;0.91;1.24;78634.53
470;prom;1.80;1.40;1.21;78637.91
62;farming;0.33;0.71;1.73;78641.27
938;prom;0.75;1.49;1.25;78642.62
213;prom;1.06;1.33;1.24;78646.28
923;farming;0.13;1.57;1.72;78646.29
266;prom;1.12;1.44;1.24;78647.74
455;farming;0.37;0.87;1.87;78649.19
249;prom;1.74;0.44;1.02;78651.35
852;prom;1.80;1.29;1.19;78653.82
738;prom;0.63;1.15;1.24;78654.67
134;prom;0.42;1.25;1.23;78660.07
892;farming;0.02;1.51;1.46;78660.45
724;farming;0.32;0.85;1.73;78662.21
581;prom;0.32;0.22;1.22;78663.31
843;prom;0.16;0.41;1.23;78663.86
105;prom;0.89;1.08;1.21;78664.96
682;prom;0.12;1.87;1.23;78666.51
408;prom;1.22;1.85;1.20;78670.71
979;prom;0.50;1.79;1.21;78672.15
681;farming;0.05;1.59;1.52;78672.53
583;farming;0.38;0.19;1.39;78680.80
663;farming;0.45;0.50;1.72;78684.94
129;prom;1.36;0.39;1.13;78686.53
518;prom;0.90;0.70;1.18;78688.72
500;farming;0.22;1.21;1.61;78693.90
74;prom;1.28;1.66;1.16;78695.53
680;prom;1.25;0.81;1.16;78696.50
78;prom;1.80;1.74;1.14;78696.87
72;prom;0.02;0.04;1.17;78697.59
259;prom;0.37;1.43;1.18;78698.33
657;prom;0.97;0.59;1.16;78699.99
261;farming;0.10;0.55;1.13;78700.85
549;farming;0.27;0.27;1.21;78704.22
169;prom;1.65;1.42;1.14;78708.79
245;farming;0.31;1.29;1.82;78709.63
986;farming;0.27;0.83;1.47;78714.34
720;prom;1.63;0.43;0.98;78718.37
745;prom;1.07;0.77;1.13;78719.22
406;farming;0.00;1.63;1.33;78721.65
484;prom;1.00;0.07;1.12;78721.96
37;prom;1.88;1.61;1.09;78723.58
880;farming;0.28;1.27;1.69;78723.81
563;prom;0.83;0.62;1.13;78724.40
167;farming;0.45;0.18;1.37;78725.73
638;farming;0.13;1.95;1.69;78727.14
925;farming;0.33;1.56;1.94;78729.94
895;farming;0.24;1.79;1.86;78730.65
299;farming;0.15;1.85;1.67;78738.77
115;prom;1.47;1.03;1.10;78739.30
749;farming;0.09;1.02;1.20;78741.42
857;farming;0.35;1.22;1.78;78741.43
257;prom;0.43;0.61;1.11;78741.66
21;prom;1.64;0.90;1.08;78743.01
5;prom;0.33;0.90;1.12;78743.26
101;prom;1.13;1.00;1.10;78745.09
536;prom;0.37;1.66;1.11;78746.96
416;prom;0.11;1.71;1.11;78751.69
935;farming;0.27;1.17;1.55;78751.93
624;farming;0.61;0.16;1.54;78753.78
491;farming;0.29;0.50;1.24;78755.51
383;prom;1.05;0.36;1.08;78755.53
920;prom;0.47;1.76;1.09;78758.86
183;prom;0.08;0.67;1.09;78761.26
666;farming;0.01;1.52;1.20;78766.03
802;farming;0.11;1.05;1.17;78767.35
501;prom;0.21;1.93;1.08;78767.42
887;prom;0.04;0.34;1.08;78770.58
79;prom;1.58;1.22;1.06;78770.93
899;prom;0.25;1.01;1.08;78772.84
3;farming;0.12;0.50;0.94;78775.92
977;prom;0.21;0.63;1.07;78776.06
715;prom;0.28;0.67;1.07;78776.91
276;farming;0.48;0.07;1.16;78779.43
756;farming;0.34;1.82;1.99;78781.22
845;prom;1.77;1.73;1.04;78782.34
645;prom;0.47;1.29;1.06;78783.62
342;prom;1.74;1.95;1.03;78786.61
697;farming;0.27;0.76;1.25;78791.59
302;prom;1.19;1.11;1.03;78793.99
431;farming;0.30;0.71;1.26;78794.48
246;farming;0.43;0.30;1.23;78797.48
642;prom;1.18;0.85;1.01;78811.76
587;farming;0.44;0.30;1.20;78813.28
875;prom;0.29;1.05;1.02;78816.54
811;farming;0.55;1.02;1.96;78818.74
502;prom;1.04;0.58;1.00;78819.01
490;prom;0.28;1.40;1.02;78819.76
562;prom;0.84;1.51;1.01;78820.59
582;farming;0.10;1.58;1.24;78820.62
372;prom;0.47;0.37;1.00;78827.35
357;prom;0.33;1.39;1.00;78832.13
346;farming;0.45;1.31;1.84;78832.90
159;prom;1.68;0.84;0.95;78839.44
653;farming;0.01;1.59;1.03;78841.67
316;prom;1.51;0.69;0.95;78847.03
77;farming;0.61;0.73;1.85;78848.02
322;farming;0.03;0.59;0.67;78853.53
591;farming;0.94;0.03;1.77;78854.10
305;farming;0.26;0.04;0.61;78854.97
345;farming;0.34;1.63;1.71;78856.04
731;prom;0.06;1.62;0.97;78858.03
729;farming;0.46;1.01;1.62;78858.33
538;farming;0.44;0.71;1.38;78860.05
447;prom;1.42;0.21;0.78;78864.40
914;prom;0.15;1.72;0.96;78864.47
401;farming;0.57;0.50;1.49;78864.48
559;farming;0.42;0.13;0.90;78865.31
974;prom;0.78;1.63;0.95;78865.45
597;farming;0.05;0.75;0.73;78865.62
876;prom;0.68;0.26;0.94;78865.94
150;prom;1.08;1.21;0.94;78866.42
376;prom;1.35;0.87;0.93;78868.16
457;farming;0.17;1.48;1.22;78869.13
801;prom;1.37;1.05;0.93;78874.47
154;prom;0.23;0.65;0.94;78875.07
189;prom;0.15;1.28;0.94;78882.08
871;farming;0.23;0.73;0.94;78882.62
590;prom;1.10;1.39;0.92;78882.91
589;farming;0.21;0.69;0.90;78884.15
959;prom;1.88;1.62;0.91;78885.07
368;farming;0.22;0.55;0.84;78885.15
988;farming;0.59;0.85;1.78;78889.44
135;farming;0.33;0.52;0.97;78891.75
631;farming;0.04;0.50;0.52;78897.58
194;prom;0.13;1.48;0.92;78899.43
838;prom;1.33;0.86;0.89;78901.64
643;farming;0.36;1.17;1.38;78906.90
421;farming;0.65;0.90;1.96;78909.17
168;farming;0.04;1.50;0.89;78909.95
2;farming;0.35;0.09;0.60;78910.94
463;prom;1.92;1.61;0.87;78914.22
286;prom;1.13;1.30;0.88;78920.45
104;farming;0.79;0.35;1.84;78924.56
687;farming;0.02;1.44;0.80;78925.44
171;farming;0.15;0.75;0.73;78926.87
219;prom;1.13;0.54;0.86;78930.51
155;prom;0.57;1.42;0.86;78938.25
837;prom;0.88;1.35;0.86;78939.16
808;farming;0.47;1.70;1.92;78940.56
726;prom;1.55;1.14;0.85;78940.56
14;farming;0.32;1.03;1.13;78945.17
466;farming;0.68;0.71;1.80;78947.45
229;prom;0.27;0.54;0.85;78950.09
209;farming;0.04;1.28;0.72;78952.51
633;prom;1.35;1.35;0.83;78955.44
186;prom;0.87;1.32;0.83;78962.33
962;prom;1.05;0.77;0.82;78963.60
136;farming;0.21;1.45;1.06;78965.53
647;prom;0.63;1.72;0.83;78967.88
314;prom;1.71;1.31;0.81;78967.99
440;prom;0.72;0.26;0.82;78968.09
140;prom;1.24;1.65;0.82;78970.44
734;prom;1.54;0.63;0.81;78971.64
108;prom;0.62;0.85;0.82;78974.64
325;prom;1.53;1.81;0.81;78976.57
60;prom;1.07;1.90;0.81;78976.58
413;farming;0.35;1.91;1.63;78976.79
656;prom;0.12;1.01;0.82;78977.05
716;farming;0.24;0.40;0.52;78980.19
968;farming;0.65;0.79;1.69;78983.05
197;farming;0.05;0.12;0.12;78984.22
874;prom;0.27;1.43;0.81;78984.50
532;prom;1.92;1.67;0.79;78990.16
707;prom;0.56;1.81;0.80;78991.42
773;farming;0.19;0.32;0.37;78993.41
601;prom;1.47;1.42;0.79;78995.75
826;prom;1.64;1.85;0.78;78996.50
702;prom;0.97;0.18;0.78;78997.61
548;farming;0.25;0.64;0.65;78998.78
670;farming;0.71;0.46;1.50;79004.08
848;prom;0.77;0.08;0.77;79004.92
824;farming;0.12;0.97;0.58;79007.83
199;farming;0.06;1.20;0.58;79009.41
780;prom;1.38;1.00;0.77;79010.79
6;farming;0.63;0.02;0.61;79011.60
46;prom;0.98;1.71;0.77;79014.15
788;prom;0.92;0.37;0.76;79019.69
275;prom;0.02;1.17;0.77;79024.91
306;farming;0.35;1.86;1.46;79028.99
578;farming;0.72;0.41;1.44;79029.81
81;prom;0.67;1.87;0.75;79031.31
315;prom;0.11;1.68;0.75;79036.61
695;prom;0.90;0.66;0.74;79036.80
779;farming;0.50;1.24;1.47;79036.82
517;farming;0.69;0.53;1.44;79037.06
650;prom;0.02;1.66;0.75;79040.00
453;prom;0.91;1.98;0.73;79049.40
487;farming;0.02;1.20;0.42;79054.43
614;farming;0.17;0.32;0.19;79055.61
241;farming;0.33;0.99;0.86;79058.55
441;farming;0.28;0.67;0.55;79061.14
694;prom;0.37;0.37;0.72;79061.31
248;prom;0.22;0.36;0.71;79064.61
967;prom;1.98;1.87;0.70;79066.67
827;prom;0.28;0.38;0.71;79067.28
82;farming;0.13;0.45;0.19;79071.38
338;farming;0.38;1.65;1.33;79071.64
233;prom;0.02;0.33;0.71;79071.87
251;farming;0.19;1.70;0.89;79074.51
216;farming;0.02;0.63;0.15;79080.59
327;farming;0.23;1.02;0.61;79085.46
142;farming;0.06;0.73;0.22;79086.02
821;prom;1.19;0.66;0.68;79087.01
525;farming;0.15;0.36;0.11;79087.33
995;prom;0.88;0.39;0.68;79089.64
63;prom;0.15;1.60;0.69;79090.86
443;prom;0.76;0.93;0.69;79091.11
459;prom;0.20;1.78;0.69;79092.71
415;prom;0.02;0.67;0.69;79094.09
452;prom;0.73;1.66;0.68;79100.95
776;prom;0.55;0.19;0.67;79100.97
997;prom;0.16;0.22;0.67;79104.91
250;prom;1.05;0.56;0.66;79107.38
688;farming;0.31;0.98;0.70;79108.34
317;prom;0.24;1.21;0.67;79109.90
944;farming;0.46;0.32;0.48;79111.06
418;prom;1.54;0.71;0.65;79111.34
397;prom;0.01;1.72;0.67;79114.50
519;farming;0.19;1.50;0.69;79116.86
293;prom;1.78;0.59;0.63;79117.02
396;prom;1.05;1.86;0.65;79125.01
544;farming;0.09;0.99;0.27;79130.86
919;prom;1.72;0.76;0.63;79131.76
476;farming;0.59;0.23;0.58;79133.29
488;prom;0.83;0.09;0.63;79133.75
139;prom;1.22;0.92;0.63;79134.70
411;prom;1.77;1.64;0.63;79135.86
468;prom;1.79;0.65;0.62;79135.93
365;prom;1.49;1.27;0.63;79137.13
973;farming;0.25;1.33;0.71;79137.86
607;farming;0.19;1.14;0.48;79137.99
790;prom;1.52;0.40;0.62;79139.80
627;prom;1.64;0.49;0.62;79140.38
983;farming;0.46;1.15;1.08;79141.06
664;farming;0.24;1.75;0.87;79143.11
791;prom;0.54;0.37;0.62;79145.49
313;farming;0.34;0.76;0.54;79145.63
737;farming;0.89;0.00;0.54;79149.77
405;prom;1.26;0.88;0.62;79150.53
535;prom;0.19;0.97;0.62;79152.31
652;farming;0.45;1.79;1.44;79159.63
267;prom;0.48;0.91;0.61;79165.05
618;prom;1.92;0.91;0.59;79166.01
483;farming;0.12;1.13;0.28;79174.56
787;farming;0.42;1.07;0.86;79175.97
125;farming;0.65;0.04;0.16;79177.80
961;farming;0.58;1.16;1.36;79178.37
201;farming;0.42;0.99;0.78;79181.08
292;farming;0.54;0.48;0.64;79182.11
854;farming;0.35;1.64;1.01;79183.09
255;farming;0.13;1.08;0.25;79184.99
20;prom;1.80;1.57;0.58;79185.68
840;prom;1.16;0.66;0.58;79186.72
593;farming;0.77;0.52;1.42;79186.78
964;prom;1.88;1.28;0.57;79189.12
850;prom;1.47;1.98;0.57;79189.80
971;prom;0.15;0.19;0.57;79190.64
318;farming;0.37;0.31;0.09;79192.24
714;farming;0.84;0.01;0.38;79197.82
863;prom;0.40;0.12;0.56;79198.23
599;farming;0.14;0.87;0.14;79200.01
507;prom;1.95;0.40;0.49;79200.87
58;prom;0.56;0.32;0.56;79202.88
888;prom;1.43;0.69;0.55;79205.28
949;farming;0.43;1.68;1.20;79210.45
84;farming;0.45;0.70;0.59;79213.00
193;farming;0.17;1.51;0.46;79213.93
522;farming;0.59;1.74;1.73;79217.39
121;farming;0.81;0.85;1.89;79217.82
151;farming;0.10;1.01;0.11;79220.02
192;farming;0.13;1.29;0.26;79220.54
770;prom;1.79;1.13;0.54;79221.08
109;farming;0.77;0.30;0.98;79227.08
451;farming;0.33;1.81;0.95;79233.87
807;prom;1.09;1.32;0.53;79234.69
13;prom;1.71;1.86;0.52;79237.63
514;farming;0.30;1.25;0.54;79238.24
879;farming;0.41;1.90;1.24;79238.77
71;farming;0.87;0.51;1.78;79238.98
373;farming;0.54;1.05;1.03;79243.68
930;prom;1.10;0.26;0.50;79256.68
69;prom;1.17;1.49;0.51;79258.17
240;prom;0.77;0.99;0.51;79258.44
184;farming;0.88;0.06;0.62;79258.66
